Number,Category,Description,Part name,Catalog number,Vendor,Need per setup,unit,Cost per unit,Total cost,Website,Notes
1,open field,Open field box (with front base opening for panel options),,,,1,,,,,
2,open field,Flat front panel for open field box,,,,1,,,,,Panel consists of 2 machined pieces of PVC sheet.
3,open field,Front panel with food grate and sipper tube openings for open field box,,,,1,,,,,"Panel consists of 2 machined pieces of PVC sheet, with attached aluminum food grate, 3D printed support pieces for grate, metal screws to attach aluminum to 3D printed part(s), plastic screws and nuts."
4,open field,Aluminum grate,,,,1,,,,,
5,open field,Food hopper to attach to grated panel,,,,1,,,,3D printed,
6,open field,Lid for food hopper to attach to grated panel,,,,1,,,,3D printed,
7,open field,"Screw stops to hold panel to box (min 3-4 per box, 2 styles)",,,,4,,,,3D printed plus plastic screws and nuts,"Two styles - One to apply to flat face of panel and one to insert into sipper tube hole which is not being used. Our typical experiments use one water bottle, so we use 2 sipper tube screw stops to hold the bottom of the panel and 1 or 2 flat screw stops to hold the top."
9,open field,Box materials list from Jarek 8/6/19:,,,,,,,,,
10,open field,white PVC sheet for box floor,"Celtec® Expanded PVC Sheet, Celtec® 700, White, (6 mm x 48 in x 96 in), Satin / Smooth, Digital Print Grade",W01-00966,Curbell Plastics,,"48""x96"" sheet",72.93,,https://www.curbellplastics.com/Shop-Materials/Product/Celtec-Expanded-PVC-Sheet/W01-00966/Celtec-Expanded-PVC-Sheet-Celtec-700-White-(6-mm-x-48-in-x-96-in)-Satin-Smooth-Digital-Print-Grade,"White for box floor. Have them cut to 48"" x 48"" sheets before shipping"
11,open field,"gray PVC sheet for box walls, door and panels","Celtec® Expanded PVC Sheet, Celtec® 700, Gray, (6 mm x 48 in x 96 in), Satin / Smooth, Digital Print Grade",W01-01004,Curbell Plastics,,"48""x96"" sheet",80.22,,https://www.curbellplastics.com/Shop-Materials/Product/Celtec-Expanded-PVC-Sheet/W01-01004/Celtec-Expanded-PVC-Sheet-Celtec-700-Gray-(6-mm-x-48-in-x-96-in)-Satin-Smooth-Digital-Print-Grade,"Gray for box walls. Have them cut to 48"" x 48"" sheets before shipping"
